1	2
1	77
2	1
2	77
2	4
2	13
3	77
3	4
3	6
4	2
4	77
4	3
4	6
4	5
4	16
4	14
4	13
5	4
5	6
5	7
5	22
5	21
5	16
6	3
6	5
6	7
7	6
7	8
7	24
7	22
7	5
8	7
8	32
8	28
8	24
9	10
10	9
10	12
10	11
10	76
11	12
11	15
11	10
12	13
12	14
12	11
12	10
13	2
13	4
13	14
13	12
14	13
14	4
14	16
14	12
15	11
15	12
15	16
15	19
15	17
16	14
16	5
16	21
16	20
16	15
17	15
17	19
17	18
17	76
18	17
18	19
18	25
19	17
19	15
19	20
19	25
19	18
20	16
20	21
20	22
20	23
20	19
21	16
21	5
21	22
21	20
22	21
22	5
22	7
22	24
22	23
22	20
23	20
23	22
23	24
23	27
23	26
23	25
24	22
24	7
24	8
24	28
24	23
25	18
25	19
25	23
25	26
25	29
26	23
26	27
26	29
26	25
27	23
27	28
27	29
27	26
28	24
28	8
28	32
28	33
28	31
28	29
28	27
29	26
29	27
29	28
29	31
29	30
29	25
30	29
30	31
30	58
30	57
30	56
31	28
31	34
31	60
31	59
31	30
31	29
32	8
32	33
32	28
33	35
33	34
33	28
33	32
34	33
34	35
34	37
34	60
34	31
35	33
35	36
35	38
35	34
36	35
36	39
36	38
37	34
37	38
37	40
37	68
37	61
37	60
38	35
38	36
38	39
38	40
38	37
39	36
39	41
39	38
40	41
40	42
40	69
40	68
40	37
40	38
41	39
41	42
41	40
42	41
42	43
42	69
42	40
43	42
43	46
43	45
43	69
44	69
44	45
44	69
44	47
44	49
44	71
45	43
45	46
45	48
45	44
45	69
46	43
46	52
46	51
46	48
46	45
47	45
47	48
47	51
47	50
47	49
47	44
48	45
48	46
48	51
48	47
49	44
49	47
49	50
49	53
49	75
49	73
50	47
50	51
50	54
50	49
51	48
51	52
51	55
51	54
51	50
51	47
51	48
52	46
52	55
52	51
53	49
53	54
53	75
54	50
54	51
54	55
54	53
54	49
55	52
55	54
55	51
56	57
56	62
56	64
57	30
57	58
57	62
57	56
58	30
58	59
58	61
58	63
58	62
58	57
59	31
59	60
59	61
59	58
60	31
60	34
60	37
60	61
60	59
61	59
61	60
61	37
61	68
61	67
61	63
61	58
62	57
62	58
62	63
62	65
62	56
63	58
63	61
63	67
63	66
63	62
64	56
64	65
65	62
65	56
65	70
65	64
66	63
66	67
66	70
66	65
67	61
67	68
67	71
67	66
67	63
68	61
68	37
68	40
68	69
68	71
68	67
69	40
69	42
69	43
69	45
69	44
69	71
69	68
70	65
70	66
70	71
70	72
71	67
71	68
71	69
71	44
71	49
71	73
71	72
71	70
72	70
72	71
72	73
72	75
72	74
73	71
73	49
73	75
73	72
74	72
74	75
75	72
75	73
75	49
75	53
75	74
76	10
76	17
77	1
77	3
77	2
77	4
